Fri Mar 07 2014 09:37:44 GMT-0800 (Pacific Standard Time)  Updating convid 20140307173436312-adam1-adam2-0.4.3 to length 0
Fri Mar 07 2014 09:37:45 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam2"}
Fri Mar 07 2014 09:37:45 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam2. Please continue your conversation.
Fri Mar 07 2014 09:37:45 GMT-0800 (Pacific Standard Time)  Updating convid 20140307173436312-adam1-adam2-0.4.3 to length 0
Fri Mar 07 2014 09:38:20 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 09:38:22 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam1"}
Fri Mar 07 2014 09:38:22 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam1. Please continue your conversation.
Fri Mar 07 2014 09:38:22 GMT-0800 (Pacific Standard Time)  Updating convid 20140307173436312-adam1-adam2-0.4.3 to length 0
Fri Mar 07 2014 09:38:23 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam2"}
Fri Mar 07 2014 09:38:23 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam2. Please continue your conversation.
Fri Mar 07 2014 09:38:23 GMT-0800 (Pacific Standard Time)  Updating convid 20140307173436312-adam1-adam2-0.4.3 to length 0
Fri Mar 07 2014 09:47:42 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 09:47:44 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam2"}
Fri Mar 07 2014 09:47:44 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam2. Please continue your conversation.
Fri Mar 07 2014 09:47:44 GMT-0800 (Pacific Standard Time)  Updating convid 20140307173436312-adam1-adam2-0.4.3 to length 0
Fri Mar 07 2014 09:47:45 GMT-0800 (Pacific Standard Time)  hello adam1
Fri Mar 07 2014 09:47:45 GMT-0800 (Pacific Standard Time)  waiting adam1
Fri Mar 07 2014 09:47:45 GMT-0800 (Pacific Standard Time)  Someone disconnected before hello.
Fri Mar 07 2014 09:47:47 GMT-0800 (Pacific Standard Time)  hello adam2
